K,G,S,CV,NPfix
10.0,0.45,0.1,1.0,1.8722991120165005
10.0,0.45,0.5,0.0,0.7690593767313296
10.0,0.45,0.5,0.01,0.7703969790549946
10.0,0.45,0.5,0.1,0.774617067833698
10.0,0.45,0.5,0.5,1.4215183806658849
10.0,0.45,0.5,1.0,1.7653492074479131
10.0,0.45,1.0,0.0,0.67858
10.0,0.45,1.0,0.01,0.6822
10.0,0.45,1.0,0.1,0.682012
10.0,0.45,1.0,0.5,0.8105590745799686
10.0,0.45,1.0,1.0,1.4577331907021438
10.0,0.5,0.0,0.0,1.3771549399537213
10.0,0.5,0.0,0.01,1.3779010832882133
10.0,0.5,0.0,0.1,1.3911599350372803
10.0,0.5,0.0,0.5,1.7876676914627265
10.0,0.5,0.0,1.0,1.8510494655299259
10.0,0.5,0.01,0.0,1.3603240512918535
10.0,0.5,0.01,0.01,1.3595838315803175
10.0,0.5,0.01,0.1,1.3737376205368779
10.0,0.5,0.01,0.5,1.783935594992245
10.0,0.5,0.01,1.0,1.8492292516624196
10.0,0.5,0.1,0.0,1.2017880618441958
10.0,0.5,0.1,0.01,1.2017583658489863
10.0,0.5,0.1,0.1,1.2198747585884004
10.0,0.5,0.1,0.5,1.741529175392893
10.0,0.5,0.1,1.0,1.8332887504422335
10.0,0.5,0.5,0.0,0.8065283264163208
10.0,0.5,0.5,0.01,0.8037489724527328
10.0,0.5,0.5,0.1,0.810275304226772
10.0,0.5,0.5,0.5,1.373038573277369
10.0,0.5,0.5,1.0,1.7175978554098306
10.0,0.5,1.0,0.0,0.728916
10.0,0.5,1.0,0.01,0.728168
10.0,0.5,1.0,0.1,0.729288
10.0,0.5,1.0,0.5,0.8384748089708643
10.0,0.5,1.0,1.0,1.4164669979586366
10.0,0.55,0.0,0.0,1.3265942328904257
10.0,0.55,0.0,0.01,1.3302630720553217
10.0,0.55,0.0,0.1,1.3422461421612064
10.0,0.55,0.0,0.5,1.734247770242275
10.0,0.55,0.0,1.0,1.8042876718383944
10.0,0.55,0.01,0.0,1.3128523019777785
10.0,0.55,0.01,0.01,1.3116238341546858
10.0,0.55,0.01,0.1,1.3248262462461238
10.0,0.55,0.01,0.5,1.7292023570335509
10.0,0.55,0.01,1.0,1.8050486140734372
10.0,0.55,0.1,0.0,1.1737976327828115
10.0,0.55,0.1,0.01,1.1736932560879179
10.0,0.55,0.1,0.1,1.188868983541397
10.0,0.55,0.1,0.5,1.6823339015601062
10.0,0.55,0.1,1.0,1.782876680722587
10.0,0.55,0.5,0.0,0.8356087667857386
10.0,0.55,0.5,0.01,0.8348813952558102
10.0,0.55,0.5,0.1,0.8377003144226385
10.0,0.55,0.5,0.5,1.3319177630163126
10.0,0.55,0.5,1.0,1.6625903745106838
10.0,0.55,1.0,0.0,0.767764
10.0,0.55,1.0,0.01,0.77116
10.0,0.55,1.0,0.1,0.771036
10.0,0.55,1.0,0.5,0.868855674394774
10.0,0.55,1.0,1.0,1.3773775639989891
10.0,0.6,0.0,0.0,1.283718556027442
10.0,0.6,0.0,0.01,1.2818488322197021
10.0,0.6,0.0,0.1,1.2925594477115827
10.0,0.6,0.0,0.5,1.6743419739672263
10.0,0.6,0.0,1.0,1.7545379379084598
10.0,0.6,0.01,0.0,1.26955808511029
10.0,0.6,0.01,0.01,1.2680321368650451
10.0,0.6,0.01,0.1,1.2791888540970915
10.0,0.6,0.01,0.5,1.6682627068930787
10.0,0.6,0.01,1.0,1.7509015796308613
10.0,0.6,0.1,0.0,1.1467567147519675
10.0,0.6,0.1,0.01,1.1484824321459934
10.0,0.6,0.1,0.1,1.1631214559681193
10.0,0.6,0.1,0.5,1.623479522374735
10.0,0.6,0.1,1.0,1.7299356807532869
10.0,0.6,0.5,0.0,0.8667285367980607
10.0,0.6,0.5,0.01,0.8606555901571472
10.0,0.6,0.5,0.1,0.8679612854448394
10.0,0.6,0.5,0.5,1.287825972573909
10.0,0.6,0.5,1.0,1.604170928860895
10.0,0.6,1.0,0.0,0.807392
10.0,0.6,1.0,0.01,0.80742
10.0,0.6,1.0,0.1,0.81024
10.0,0.6,1.0,0.5,0.8882301963602012
10.0,0.6,1.0,1.0,1.3371483765943142
10.0,0.65,0.0,0.0,1.2404373483558555
10.0,0.65,0.0,0.01,1.238975323533621
10.0,0.65,0.0,0.1,1.2481836895629999
10.0,0.65,0.0,0.5,1.6099970400229568
10.0,0.65,0.0,1.0,1.6939056723465264
10.0,0.65,0.01,0.0,1.2287773134474687
10.0,0.65,0.01,0.01,1.2295159656175443
10.0,0.65,0.01,0.1,1.241304828060185
10.0,0.65,0.01,0.5,1.6031214860184377
10.0,0.65,0.01,1.0,1.692337667759938
10.0,0.65,0.1,0.0,1.1266135255356198
10.0,0.65,0.1,0.01,1.1251802804497215
10.0,0.65,0.1,0.1,1.1357887348728644
10.0,0.65,0.1,0.5,1.5572626473087787
10.0,0.65,0.1,1.0,1.6706977813541786
10.0,0.65,0.5,0.0,0.8849711167650777
10.0,0.65,0.5,0.01,0.8845899986799314
10.0,0.65,0.5,0.1,0.8904272341787343
10.0,0.65,0.5,0.5,1.2499201608732649
10.0,0.65,0.5,1.0,1.5422421477173442
10.0,0.65,1.0,0.0,0.840936
10.0,0.65,1.0,0.01,0.838336
10.0,0.65,1.0,0.1,0.84102
10.0,0.65,1.0,0.5,0.9111690266584997
10.0,0.65,1.0,1.0,1.299604802652511
10.0,0.7,0.0,0.0,1.197259606426739
10.0,0.7,0.0,0.01,1.19810851271675
10.0,0.7,0.0,0.1,1.2060623222486242
10.0,0.7,0.0,0.5,1.5368952414666608
10.0,0.7,0.0,1.0,1.6283365152336964
